,amp
1040,0.716873364
1041,0.716092195
1042,0.715265057
1043,0.714389628
1044,0.713463493
1045,0.712484143
1046,0.711448973
1047,0.710355283
1048,0.709200269
1049,0.70798103
1050,0.70669456
1051,0.705337749
1052,0.703907382
1053,0.702400136
1054,0.70081258
1055,0.699141176
1056,0.697382273
1057,0.695532112
1058,0.693586822
1059,0.691542421
1060,0.689394816
1061,0.687139802
1062,0.684773065
1063,0.682290179
1064,0.679686611
1065,0.676957719
1066,0.674098755
1067,0.671104866
1068,0.667971096
1069,0.66469239
1070,0.661263594
1071,0.657679462
1072,0.653934654
1073,0.650023745
1074,0.645941227
1075,0.64168151
1076,0.637238935
1077,0.632607772
1078,0.627782228
1079,0.622756454
1080,0.617524552
1081,0.61208058
1082,0.60641856
1083,0.600532485
1084,0.594416331
1085,0.588064061
1086,0.581469637
1087,0.574627026
1088,0.567530217
1089,0.560173221
1090,0.552550093
1091,0.544654933
1092,0.536481906
1093,0.528025247
1094,0.519279277
1095,0.510238418
1096,0.500897198
1097,0.491250274
1098,0.481292437
1099,0.471018632
1100,0.46042397
1101,0.449503741
1102,0.438253433
1103,0.426668739
1104,0.414745581
1105,0.402480119
1106,0.389868769
1107,0.376908215
1108,0.36359543
1109,0.349927686
1110,0.33590257
1111,0.321518004
1112,0.306772251
1113,0.291663941
1114,0.276192075
1115,0.260356048
1116,0.244155656
1117,0.227591117
1118,0.210663078
1119,0.193372632
1120,0.175721328
1121,0.157711186
1122,0.139344706
1123,0.120624879
1124,0.101555199
1125,0.08213967
1126,0.062382817
1127,0.042289695
1128,0.02186589
1129,0.001117534
1130,-0.019948697
1131,-0.041325573
1132,-0.063005311
1133,-0.084979569
1134,-0.107239447
1135,-0.129775485
1136,-0.152577666
1137,-0.175635414
1138,-0.198937601
1139,-0.22247255
1140,-0.246228039
1141,-0.27019131
1142,-0.294349076
1143,-0.318687529
1144,-0.343192351
1145,-0.367848727
1146,-0.392641357
1147,-0.417554468
1148,-0.442571835
1149,-0.467676791
1150,-0.492852248
1151,-0.518080719
1152,-0.543344331
1153,-0.568624853
1154,-0.593903716
1155,-0.619162035
1156,-0.644380635
1157,-0.66954008
1158,-0.694620691
1159,-0.719602584
1160,-0.744465688
1161,-0.769189785
1162,-0.793754528
1163,-0.818139483
1164,-0.842324151
1165,-0.866288007
1166,-0.890010526
1167,-0.913471222
1168,-0.936649676
1169,-0.959525571
1170,-0.982078725
1171,-1.004289128
1172,-1.026136972
1173,-1.047602683
1174,-1.068666962
1175,-1.08931081
1176,-1.109515565
1177,-1.129262937
1178,-1.148535034
1179,-1.167314399
1180,-1.18558404
1181,-1.203327459
1182,-1.220528681
1183,-1.237172287
1184,-1.253243437
1185,-1.268727899
1186,-1.283612076
1187,-1.297883028
1188,-1.311528497
1189,-1.324536931
1190,-1.3368975
1191,-1.348600121
1192,-1.359635472
1193,-1.369995012
1194,-1.379670993
1195,-1.388656475
1196,-1.396945339
1197,-1.404532296
1198,-1.411412895
1199,-1.417583533
1200,-1.423041457
1201,-1.427784769
1202,-1.431812428
1203,-1.435124251
1204,-1.437720911
1205,-1.439603931
1206,-1.440775686
1207,-1.441239387
