,amp
852,0.8378916615274561
853,0.8423162711190475
854,0.8466925238013554
855,0.8510197416602491
856,0.8552969385133868
857,0.8595234612235185
858,0.8636983504719177
859,0.8678209793001357
860,0.87189041662894
861,0.8759060630370109
862,0.8798670170104387
863,0.8837727079722347
864,0.8876222652516462
865,0.8914151483687945
866,0.8951505187186812
867,0.8988278671143733
868,0.9024463881798868
869,0.9060056051616635
870,0.9095047470138614
871,0.9129433704912746
872,0.9163207399189222
873,0.9196364465685609
874,0.9228897911082281
875,0.9260804002713189
876,0.9292076119712235
877,0.932271089275239
878,0.9352702081755495
879,0.9382046688720486
880,0.9410738861949255
881,0.9438775982037385
882,0.946615259249008
883,0.9492866459010084
884,0.9518912526363459
885,0.9544288951067844
886,0.9568991084459746
887,0.9593017478781527
888,0.9616363896425933
889,0.9639029289505212
890,0.9661009835123033
891,0.9682304888572011
892,0.9702911044547982
893,0.9722828064011256
894,0.9742052961285032
895,0.9760585904677032
896,0.9778424329342166
897,0.9795568811776134
898,0.981201720836432
899,0.9827770503803385
900,0.9842826975282185
901,0.9857188014871436
902,0.9870852319302509
903,0.9883821686410593
904,0.9896095230385417
905,0.9907675152379323
906,0.9918560981169329
907,0.9928755317958972
908,0.993825810243268
909,0.9947072331815348
910,0.9955198352226685
911,0.9962639552099926
912,0.9969396678720188
913,0.9975473506158244
914,0.9980871176882313
915,0.9985593844251965
916,0.9989643039185041
917,0.9993023287280782
918,0.9995736500439855
919,0.999778756873226
920,0.9999178776918791
921,0.9999915371076173
922,0.9999999999999998
923,0.999943825668964
924,0.9998233144496729
925,0.999639059360216
926,0.9993913951851892
927,0.9990809476255766
928,0.9987080848495603
929,0.9982734641489581
930,0.9977774859526006
931,0.9972208379989764
932,0.996603951801332
933,0.9959275443485015
934,0.9951920770151842
935,0.9943982947941443
936,0.9935466876512055
937,0.9926380272965069
938,0.9916728309731886
939,0.990651895779431
940,0.9895757648851583
941,0.9884452594090692
942,0.9872609470606765
943,0.9860236715809628
944,0.9847340238005694
945,0.98339286865341
946,0.9820008186442591
947,0.9805587584448887
948,0.9790673207651661
949,0.9775274085365824
950,0.9759396731844352
951,0.97430503440471
952,0.972624160829938
953,0.970897987410978
954,0.9691271984699761
955,0.9673127426906957
956,0.9654553185568983
957,0.9635558869589558
958,0.9616151590077788
959,0.959634106269448
960,0.9576134509495339
961,0.9555541737591338
962,0.9534570064665363
963,0.9513229374013448
964,0.9491527063695243
965,0.94694730780151
966,0.9447074880243133
967,0.942434246062672
968,0.9401283332622165
969,0.9377907517488719
970,0.9354222564005678
971,0.933023850971865
972,0.9305962924046114
973,0.9281405846298825
974,0.9256574852110329
975,0.9231479968251564
976,0.9206128762399254
977,0.9180531234783418
978,0.9154694931226799
979,0.9128629811722855
980,0.9102343386654971
981,0.9075845562405176
982,0.9049143800692409
983,0.9022247941260803
984,0.8995165384309639
985,0.8967905890308362
986,0.8940476785449535
987,0.8912887738695343
988,0.8885145990185834
989,0.8857261105551795
990,0.8829240227265018
991,0.8801092806249874
992,0.8772825876133419
993,0.874444876223498
994,0.8715968378637564
995,0.8687393914617666
996,0.8658732154507515
997,0.8629992141597853
998,0.860118052074604
999,0.8572306179840785
1000,0.8543375615058201
1001,0.8514397549959035
1002,0.8485378323367387
1003,0.8456326486117598
1004,0.8427248211532522
1005,0.8398151869870433
1006,0.8369043461334942
1007,0.8339931168298013
1008,0.8310820810765598
1009,0.8281720376455569
1010,0.8252635498660862
1011,0.8223573964215786
1012,0.819454121372513
1013,0.8165544827475152
1014,0.8136590047949853
1015,0.8107684243759677
1016,0.8078832454405608
1017,0.8050041832235116
1018,0.8021317209437254
1019,0.7992665518072685
1020,0.7964091379220798
1021,0.7935601501163068
1022,0.7907200290621375
1023,0.7878894229140125
1024,0.7850687506364601
1025,0.7822586374660236
1026,0.7794594804400663
1027,0.7766718816861011
1028,0.7738962161450421
1029,0.771133062694983
1030,0.7683827740623481
1031,0.7656459057840141
1032,0.7629227883024575
1033,0.7602139537712602
1034,0.757519710327841
1035,0.7548405667459867
1036,0.7521768088839582
1037,0.7495289221855599
1038,0.7468971702998021
1039,0.7442820154354136
1040,0.7416836991460031
1041,0.7391026605426722
1042,0.7365391192377776
1043,0.7339934914239902
1044,0.7314659749688673
1045,0.7289569633637513
1046,0.7264666329657001
1047,0.7239953548201358
1048,0.7215432840447749
1049,0.7191107695299184
1050,0.7166979454607121
1051,0.7143051388973154
1052,0.7119324634304703
1053,0.7095802246483598
1054,0.7072485159175321
1055,0.7049376217408971
1056,0.7026476156611361
1057,0.7003787615109103
1058,0.6981311134360927
1059,0.6959049150411214
1060,0.693700201526813
1061,0.6915171967362531
1062,0.689355917400086
1063,0.6872165680889025
1064,0.6850991475609693
1065,0.6830038416222846
1066,0.6809306315754458
1067,0.6788796849901215
1068,0.6768509662466714
1069,0.6748446252229274
1070,0.6728606099266099
1071,0.6708990531026764
1072,0.6689598869491652
1073,0.6670432276499343
1074,0.6651489921696465
1075,0.6632772807127691
1076,0.6614279955959229
1077,0.65960122163652
1078,0.6577968470964347
1079,0.6560149420055256
1080,0.6542553811711721
1081,0.6525182204406939
1082,0.6508033217717308
1083,0.6491107274380242
1084,0.6474402871562677
1085,0.6457920302376913
1086,0.6441657947680822
1087,0.6425615977084449
1088,0.6409792661236728
1089,0.6394188052358207
1090,0.637880031698203
1091,0.6363629396034924
1092,0.6348673357983886
1093,0.6333932038529958
1094,0.6319403414096918
1095,0.6305087221161575
1096,0.629098135007471
1097,0.6277085444045546
1098,0.6263397313243726
1099,0.6249916513492043
1100,0.6236640780605768
1101,0.6223569588818633
1102,0.6210700605314154
1103,0.6198033228450611
1104,0.618556506241882
1105,0.617329543529161
1106,0.6161221893801706
1107,0.6149343701222513
1108,0.6137658352242547
1109,0.6126165050703484
1110,0.6114861244536246
1111,0.6103746083398024
1112,0.60928169736067
1113,0.6082073015746183
1114,0.6071511579544191
1115,0.6061131721472669
1116,0.6050930779542194
1117,0.6040907770932139
1118,0.6031060006664465
1119,0.6021386469286024
1120,0.6011884447406889
1121,0.6002552893457745
1122,0.5993389078040249
1123,0.5984391927821227
1124,0.5975558699660114
1125,0.5966888298639271
1126,0.5958377971961204
1127,0.5950026607159825
1128,0.594183144569899
1129,0.5933791361419573
1130,0.5925903593810158
1131,0.5918167006705094
1132,0.5910578841201013
1133,0.5903137954653059
